Creation Date,Accession Number,Artist,Credit Line,Display Title,Display Dimensions,Medium,Media & Support,Facility ,Current Location,Location Description,Street Address,Street Address 2,District Name,Geocoding Source,Geocoding Accuracy,Geocoding Accuracy Type,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
ca. 1977,1977.61.a-b,"Barnes, Carroll",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Muni Railway,Transverse and Column,"112"" h x 216"" w x 78"" d ; 1 1/2 stories h x 83 1/2"" w x 83 1/2"" d",COR-TEN steel,COR-TEN steel on concrete,Ingleside,Public Display,Nw Corner,"Ocean Ave and San Jose Ave, San Francisco, CA 94112",,District 11,Automation,0.9,intersection,37.723085,-122.443274,POINT (-122.443274 37.723085),80,9,1,28
1982,1985.8.7,"Eversley, Frederick",Purchased by the San Francisco Art Commission for the San Francisco International Airport,Untitled [White],19 1/2 in. diameter  x 4 3/4 in.,Cast resin,Cast resin,Secure Connector,SFO,Windows,Between T1 and T2,,SFO,Department Data,,,37.62207,-122.38366,POINT (-122.38366 37.62207),,,,
1930s,1942.8,"Bufano, Beniamino",Collection of the City and County of San Francisco; Completed for the City of San Francisco under the Works Progress Administration,Two Sea Lions,59 1/4  x 104  x 32 in.,Granite,Granite on concrete,Valencia Gardens Apartments,Public Display,Southeast Courtyard,390 Valencia St.,,District 8,Department Data,,,37.7666720,-122.4222550,POINT (-122.422255 37.766672),37,3,5,20
1996,1996.1.1,"Beldner, Ray",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Ocean Beach Terminal Project,Playland Revisited [Laughing Sal],186 x 100 x 4 1/2 in.,Stainless steel mesh over steel armature with photo-etched plaques,Stainless steel mesh over steel armature with photo-etched plaques,MUNI terminal,Public Display,Ne Intersection Corner,"Cabrillo St and La Playa St, San Francisco, CA 94121",,District 1,Automation,1,intersection,37.773258,-122.510037,POINT (-122.510037 37.773258),8,8,4,29
2005,2006.5.c,"Saulls, Vicki",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commision for the Eureka Valley Recreation Center,From the Heart Outwards,10 x 10 x 4 in.,Cold-cast bronze and zinc/aluminum,Cold-cast bronze and zinc/aluminum,Eureka Valley Recreation Center,Public Display,Interior Lobby,"100 Collingwood St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.76048,-122.436243,POINT (-122.436243 37.76048),38,3,5,5
1987,1987.44.a,"Kogure, Kimiko",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Stern Grove Historic Renovation,Stern Grove Trocadero Clubhouse [first floor door],35 x 25 1/2 in.,Stained glass,Stained glass on wood,Trocadero Clubhouse,Public Display,Stern Grove Entry Rd.,"Stern Grove, San Francisco, CA",,District 4,,,,,,,,,,
1986,1986.25,M.E.T.A.L. (Mural Environmentalists Together in Art Labor),Collection of the City and County of San Francisco; Gift of the International Longshoremen's & Warehousemen's Union Memorial,International Longshoremen's & Warehousemen's Union Memorial (ILWU),approx. 2 stories x 286 in. x 220 in.,Painted steel,Painted steel on Steel armatures and concrete footing,Mission St. and Steuart St.,Public Display,,"SW corner of Hotel Vitale, San Francisco, CA",,District 6,,,,,,,,,,
2006,2007.5.1-2,"Nagasawa, Nobuho, Margrill, Anita and Buchen, Bill and Mary",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Third Street Light Rail Project,Untitled (Third Street Light Rail Project),Light rail platform,"Painted steel, stainless steel","Painted steel, stainless steel on Steel, concrete",3rd Street Light Rail,Public Display,3Rd And Mission Rock St.,3rd and Mission Rock St.,,District 6,Department Data,,,37.7729306,"-122.3919976,17z",,,,,
1938,1938.2,"Puccinelli, Raymond (Raimondo)",Collection of the City and County of San Francisco,Guglielmo Marconi (1874-1937) Memorial Plaque,Approx. 8' h x 8' w,Bronze,Bronze on granite,Telegraph Hill,Public Display,,Lombard St. at Telegraph Hill Blvd.,,District 3,Department Data,,,37.8029189,-122.412311,POINT (-122.412311 37.8029189),106,6,3,23
2015,2016.11.b.2,"Nagase, Masayuki",Collection of the City and County of San Francisco,Breath Between Sky and Ocean [Boulder],41 x 57 x 42 in.,Granite,Granite,San Francisco General Hospital,City Agency,Acute Care Unit Roof Garden,1001 Portrero Avenue,,District 10,Department Data,,,37.755652,-122.4053538,POINT (-122.4053538 37.755652),54,3,9,20
2008,2011.24,"Igarashi, Takenobu",Collection of the City and County of San Francisco,Sky Dancing,,Aluminum and steel,Aluminum and steel,Laguna Honda Hospital,City Agency,Pavilion Mezzanine Patio,"375 Laguna Honda Blvd, San Francisco, CA 94131",,District 7,Automation,1,parcel,37.748644,-122.456145,POINT (-122.456145 37.748644),49,7,8,38
2008,2008.7.a,"Finneran, Bean",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Junipero Serra Playground clubhouse,Untitled [north wall],84 x 72 x 1/4 in.,Glazed ceramic tile,Glazed ceramic tile,Junipero Serra Playground,Public Display,Clubhouse North Exterior,"300 Stonecrest Dr, San Francisco, CA 94132",,District 7,Automation,1,parcel,37.724823,-122.473852,POINT (-122.473852 37.724823),41,10,8,41
1999,1999.8.3,"Montoya, Emmanuel Catarino",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the San Francisco Public Library Mission Branch,Wen Ch'ang: Chinese Deity of Literature,37  x 60 in.,Mixed media color Lino-cut print,Mixed media color Lino-cut print,Mission Library,Public Display,,"300 Bartlett St, San Francisco, CA 94110",,District 9,Automation,1,parcel,37.751997,-122.419704,POINT (-122.419704 37.751997),53,3,2,20
2005,2005.6.g,"Blackstone, Amy",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Kidpower Park,Untitled,53 1/2 x 35 x 2 in.,"10-gauge galvanized steel, Tnemec paint, Rustoleum spray paint","10-gauge galvanized steel, Tnemec paint, Rustoleum spray paint",Kidpower Park,Public Display,Playground Entrance,"45 Hoff St, San Francisco, CA 94110",,District 9,Automation,1,parcel,37.764154,-122.42028,POINT (-122.42028 37.764154),53,3,2,20
1985,1985.24.2,"Boyce, Roger",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Mission Recreation Center,Players,84  x 48 in.,Oil enamels,Oil enamels,Mission Recreation Center,Public Display,"Gymnasium, Upstairs",2450 Harrison St.,,District 9,Department Data,,,37.7581968,-122.4128127,POINT (-122.4128127 37.7581968),53,3,2,20
1952,1952.21,"Leong, James",Collection of the City and County of San Francisco; Commissioned by the San Francisco Housing Authority for the Chinese Health Center,100 Years of Progress of Chinese in America,54 x 210 in.,Egg tempera,Egg tempera on panel,Chinese Historical Society of America,Public Display,Downstairs,"965 Clay St, San Francisco, CA 94108",,District 3,Automation,1,parcel,37.793767,-122.408851,POINT (-122.408851 37.793767),16,6,3,6
"July 26, 2003",2005.11.a-q,"Rodriguez, Isis",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Parque Ninos Unidos,Los Ninos del Sol,varies,Glazed ceramic tile,Glazed ceramic tile on cement,Parque Ninos Unidos,Public Display,Park And Playground Entrances,"23rd St and Treat Ave, San Francisco, CA 94110",,District 9,Automation,0.8,intersection,37.754165,-122.413141,POINT (-122.413141 37.754165),53,3,2,20
1934,1934.4.a-b,"Wight, Clifford",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,Surveyor and Ironworker,120 x 48 in.,Fresco,Fresco,Coit Tower,Public Display,1St Floor,1 Telegraph Hill Blvd.,,District 3,Department Data,,,37.8023949,-122.4058222,POINT (-122.4058222 37.8023949),18,6,3,23
1968,1968.68,"Stellon, Anthony",Collection of the City and County of San Francisco; Gift to the City from Mayor Joseph Alioto,The Brotherhood of Man,93 1/2  x 160 in.,"Glass smalti, 22K gold smalti, marble - hand-cut tesserae","Glass smalti, 22K gold smalti, marble - hand-cut tesserae",Franklin Square,Public Display,Playground,"2500 17th St, San Francisco, CA 94110",,District 9,Automation,1,parcel,37.765007,-122.409453,POINT (-122.409453 37.765007),53,3,9,20
